name,dex_num,fling_power,ignored_by_klutz,category,description
Mystic Water,243,30,0,[],Holder's Water-type attacks have 1.2x power.
Nanab Berry,166,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Nest Ball,8,0,0,[],A Poke Ball that works especially well on weaker Pokemon in the wild.
Net Ball,6,0,0,[],A Poke Ball that works especially well on Water- and Bug-type Pokemon.
Never-Melt Ice,246,30,0,[],Holder's Ice-type attacks have 1.2x power.
Nomel Berry,178,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Normal Gem,564,0,0,"[""isGem""]",Holder's first successful Normal-type attack will have 1.3x power. Single use.
Normalium Z,776,0,0,"[""zMove""]","If holder has a Normal move, this item allows it to use a Normal Z-Move."
Occa Berry,184,0,0,"[""isBerry""]",Halves damage taken from a supereffective Fire-type attack. Single use.
Odd Incense,314,10,0,[],Holder's Psychic-type attacks have 1.2x power.
Old Amber,103,100,0,[],Can be revived into Aerodactyl.
Oran Berry,155,0,0,"[""isBerry""]",Restores 10 HP when at 1/2 max HP or less. Single use.
Oval Stone,110,80,0,[],Evolves Happiny into Chansey when held and leveled up during the day.
Pamtre Berry,180,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Park Ball,500,0,0,[],A special Poke Ball for the Pal Park.
Passho Berry,185,0,0,"[""isBerry""]",Halves damage taken from a supereffective Water-type attack. Single use.
Payapa Berry,193,0,0,"[""isBerry""]",Halves damage taken from a supereffective Psychic-type attack. Single use.
Pecha Berry,151,0,0,"[""isBerry""]",Holder is cured if it is poisoned. Single use.
Persim Berry,156,0,0,"[""isBerry""]",Holder is cured if it is confused. Single use.
Petaya Berry,204,0,0,"[""isBerry""]",Raises holder's Sp. Atk by 1 stage when at 1/4 max HP or less. Single use.
Pidgeotite,762,0,0,[],"If held by a Pidgeot, this item allows it to Mega Evolve in battle."
Pikanium Z,794,0,0,"[""zMove""]","If held by a Pikachu with Volt Tackle, it can use Catastropika."
Pikashunium Z,836,0,0,"[""zMove""]","If held by cap Pikachu with Thunderbolt, it can use 10,000,000 Volt Thunderbolt."
Pinap Berry,168,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Pinsirite,671,0,0,[],"If held by a Pinsir, this item allows it to Mega Evolve in battle."
Pixie Plate,644,0,0,[],Holder's Fairy-type attacks have 1.2x power. Judgment is Fairy type.
Plume Fossil,573,100,0,[],Can be revived into Archen.
Poison Barb,245,70,0,[],Holder's Poison-type attacks have 1.2x power.
Poison Gem,554,0,0,"[""isGem""]",Holder's first successful Poison-type attack will have 1.3x power. Single use.
Poison Memory,906,0,0,[],Holder's Multi-Attack is Poison type.
Poisonium Z,783,0,0,"[""zMove""]","If holder has a Poison move, this item allows it to use a Poison Z-Move."
Poke Ball,4,0,0,[],A device for catching wild Pokemon. It is designed as a capsule system.
Pomeg Berry,169,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Power Anklet,293,70,1,[],Holder's Speed is halved. The Klutz Ability does not ignore this effect.
Power Band,292,70,1,[],Holder's Speed is halved. The Klutz Ability does not ignore this effect.
Power Belt,290,70,1,[],Holder's Speed is halved. The Klutz Ability does not ignore this effect.
Power Bracer,289,70,1,[],Holder's Speed is halved. The Klutz Ability does not ignore this effect.
Power Herb,271,10,0,[],Holder's two-turn moves complete in one turn (except Sky Drop). Single use.
Power Lens,291,70,1,[],Holder's Speed is halved. The Klutz Ability does not ignore this effect.
Power Weight,294,70,1,[],Holder's Speed is halved. The Klutz Ability does not ignore this effect.
Premier Ball,12,0,0,[],A rare Poke Ball that has been crafted to commemorate an event.
Primarium Z,800,0,0,"[""zMove""]","If held by a Primarina with Sparkling Aria, it can use Oceanic Operetta."
Prism Scale,537,30,0,[],Evolves Feebas into Milotic when traded.
Protective Pads,880,30,0,[],"Holder's moves are protected from adverse contact effects, except Pickpocket."
Protector,321,80,0,[],Evolves Rhydon into Rhyperior when traded.
Psychic Gem,557,0,0,"[""isGem""]",Holder's first successful Psychic-type attack will have 1.3x power. Single use.
Psychic Memory,916,0,0,[],Holder's Multi-Attack is Psychic type.
Psychic Seed,882,10,0,[],"If the terrain is Psychic Terrain, raises holder's Sp. Def by 1 stage. Single use."
Psychium Z,786,0,0,"[""zMove""]","If holder has a Psychic move, this item allows it to use a Psychic Z-Move."
Punching Glove,1884,30,0,[],Holder's punch-based attacks have 1.1x power and do not make contact.
