name,dex_num,type,is_pre_evolution,weight,gender_ratio,is_mythical,is_legendary,is_max,is_mega,mandatory_item_name,base_stats
Pikachu-Pop-Star,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Pikachu-PhD,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Pikachu-Libre,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Pikachu-Original,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Pikachu-Hoenn,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Pikachu-Sinnoh,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Pikachu-Unova,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Pikachu-Kalos,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Pikachu-Alola,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Pikachu-Partner,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Pikachu-Starter,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 45, ""atk"": 80, ""def"": 50, ""spa"": 75, ""spd"": 60, ""spe"": 120}"
Pikachu-Gmax,25,"[""Electric""]",0,0,,0,0,1,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Pikachu-World,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Raichu,26,"[""Electric""]",0,30,,0,0,0,0,,"{""hp"": 60, ""atk"": 90, ""def"": 55, ""spa"": 90, ""spd"": 80, ""spe"": 110}"
Raichu-Alola,26,"[""Electric"", ""Psychic""]",0,21,,0,0,0,0,,"{""hp"": 60, ""atk"": 85, ""def"": 50, ""spa"": 95, ""spd"": 85, ""spe"": 110}"
Sandshrew,27,"[""Ground""]",1,12,,0,0,0,0,,"{""hp"": 50, ""atk"": 75, ""def"": 85, ""spa"": 20, ""spd"": 30, ""spe"": 40}"
Sandshrew-Alola,27,"[""Ice"", ""Steel""]",1,40,,0,0,0,0,,"{""hp"": 50, ""atk"": 75, ""def"": 90, ""spa"": 10, ""spd"": 35, ""spe"": 40}"
Sandslash,28,"[""Ground""]",0,29.5,,0,0,0,0,,"{""hp"": 75, ""atk"": 100, ""def"": 110, ""spa"": 45, ""spd"": 55, ""spe"": 65}"
Sandslash-Alola,28,"[""Ice"", ""Steel""]",0,55,,0,0,0,0,,"{""hp"": 75, ""atk"": 100, ""def"": 120, ""spa"": 25, ""spd"": 65, ""spe"": 65}"
Nidoran-F,29,"[""Poison""]",1,7,,0,0,0,0,,"{""hp"": 55, ""atk"": 47, ""def"": 52, ""spa"": 40, ""spd"": 40, ""spe"": 41}"
Nidorina,30,"[""Poison""]",1,20,,0,0,0,0,,"{""hp"": 70, ""atk"": 62, ""def"": 67, ""spa"": 55, ""spd"": 55, ""spe"": 56}"
Nidoqueen,31,"[""Poison"", ""Ground""]",0,60,,0,0,0,0,,"{""hp"": 90, ""atk"": 92, ""def"": 87, ""spa"": 75, ""spd"": 85, ""spe"": 76}"
Nidoran-M,32,"[""Poison""]",1,9,,0,0,0,0,,"{""hp"": 46, ""atk"": 57, ""def"": 40, ""spa"": 40, ""spd"": 40, ""spe"": 50}"
Nidorino,33,"[""Poison""]",1,19.5,,0,0,0,0,,"{""hp"": 61, ""atk"": 72, ""def"": 57, ""spa"": 55, ""spd"": 55, ""spe"": 65}"
Nidoking,34,"[""Poison"", ""Ground""]",0,62,,0,0,0,0,,"{""hp"": 81, ""atk"": 102, ""def"": 77, ""spa"": 85, ""spd"": 75, ""spe"": 85}"
Clefairy,35,"[""Fairy""]",1,7.5,0.25,0,0,0,0,,"{""hp"": 70, ""atk"": 45, ""def"": 48, ""spa"": 60, ""spd"": 65, ""spe"": 35}"
Clefable,36,"[""Fairy""]",0,40,0.25,0,0,0,0,,"{""hp"": 95, ""atk"": 70, ""def"": 73, ""spa"": 95, ""spd"": 90, ""spe"": 60}"
Vulpix,37,"[""Fire""]",1,9.9,0.25,0,0,0,0,,"{""hp"": 38, ""atk"": 41, ""def"": 40, ""spa"": 50, ""spd"": 65, ""spe"": 65}"
Vulpix-Alola,37,"[""Ice""]",1,9.9,0.25,0,0,0,0,,"{""hp"": 38, ""atk"": 41, ""def"": 40, ""spa"": 50, ""spd"": 65, ""spe"": 65}"
Ninetales,38,"[""Fire""]",0,19.9,0.25,0,0,0,0,,"{""hp"": 73, ""atk"": 76, ""def"": 75, ""spa"": 81, ""spd"": 100, ""spe"": 100}"
Ninetales-Alola,38,"[""Ice"", ""Fairy""]",0,19.9,0.25,0,0,0,0,,"{""hp"": 73, ""atk"": 67, ""def"": 75, ""spa"": 81, ""spd"": 100, ""spe"": 109}"
Jigglypuff,39,"[""Normal"", ""Fairy""]",1,5.5,0.25,0,0,0,0,,"{""hp"": 115, ""atk"": 45, ""def"": 20, ""spa"": 45, ""spd"": 25, ""spe"": 20}"
Wigglytuff,40,"[""Normal"", ""Fairy""]",0,12,0.25,0,0,0,0,,"{""hp"": 140, ""atk"": 70, ""def"": 45, ""spa"": 85, ""spd"": 50, ""spe"": 45}"
Zubat,41,"[""Poison"", ""Flying""]",1,7.5,,0,0,0,0,,"{""hp"": 40, ""atk"": 45, ""def"": 35, ""spa"": 30, ""spd"": 40, ""spe"": 55}"
Golbat,42,"[""Poison"", ""Flying""]",1,55,,0,0,0,0,,"{""hp"": 75, ""atk"": 80, ""def"": 70, ""spa"": 65, ""spd"": 75, ""spe"": 90}"
Oddish,43,"[""Grass"", ""Poison""]",1,5.4,,0,0,0,0,,"{""hp"": 45, ""atk"": 50, ""def"": 55, ""spa"": 75, ""spd"": 65, ""spe"": 30}"
Gloom,44,"[""Grass"", ""Poison""]",1,8.6,,0,0,0,0,,"{""hp"": 60, ""atk"": 65, ""def"": 70, ""spa"": 85, ""spd"": 75, ""spe"": 40}"
Vileplume,45,"[""Grass"", ""Poison""]",0,18.6,,0,0,0,0,,"{""hp"": 75, ""atk"": 80, ""def"": 85, ""spa"": 110, ""spd"": 90, ""spe"": 50}"
Paras,46,"[""Bug"", ""Grass""]",1,5.4,,0,0,0,0,,"{""hp"": 35, ""atk"": 70, ""def"": 55, ""spa"": 45, ""spd"": 55, ""spe"": 25}"
Parasect,47,"[""Bug"", ""Grass""]",0,29.5,,0,0,0,0,,"{""hp"": 60, ""atk"": 95, ""def"": 80, ""spa"": 60, ""spd"": 80, ""spe"": 30}"
Venonat,48,"[""Bug"", ""Poison""]",1,30,,0,0,0,0,,"{""hp"": 60, ""atk"": 55, ""def"": 50, ""spa"": 40, ""spd"": 55, ""spe"": 45}"
Venomoth,49,"[""Bug"", ""Poison""]",0,12.5,,0,0,0,0,,"{""hp"": 70, ""atk"": 65, ""def"": 60, ""spa"": 90, ""spd"": 75, ""spe"": 90}"
Diglett,50,"[""Ground""]",1,0.8,,0,0,0,0,,"{""hp"": 10, ""atk"": 55, ""def"": 25, ""spa"": 35, ""spd"": 45, ""spe"": 95}"
Diglett-Alola,50,"[""Ground"", ""Steel""]",1,1,,0,0,0,0,,"{""hp"": 10, ""atk"": 55, ""def"": 30, ""spa"": 35, ""spd"": 45, ""spe"": 90}"
Dugtrio,51,"[""Ground""]",0,33.3,,0,0,0,0,,"{""hp"": 35, ""atk"": 100, ""def"": 50, ""spa"": 50, ""spd"": 70, ""spe"": 120}"
Dugtrio-Alola,51,"[""Ground"", ""Steel""]",0,66.6,,0,0,0,0,,"{""hp"": 35, ""atk"": 100, ""def"": 60, ""spa"": 50, ""spd"": 70, ""spe"": 110}"
Meowth,52,"[""Normal""]",1,4.2,,0,0,0,0,,"{""hp"": 40, ""atk"": 45, ""def"": 35, ""spa"": 40, ""spd"": 40, ""spe"": 90}"
Meowth-Alola,52,"[""Dark""]",1,4.2,,0,0,0,0,,"{""hp"": 40, ""atk"": 35, ""def"": 35, ""spa"": 50, ""spd"": 40, ""spe"": 90}"
Meowth-Galar,52,"[""Steel""]",1,7.5,,0,0,0,0,,"{""hp"": 50, ""atk"": 65, ""def"": 55, ""spa"": 40, ""spd"": 40, ""spe"": 40}"
Meowth-Gmax,52,"[""Normal""]",0,0,,0,0,1,0,,"{""hp"": 40, ""atk"": 45, ""def"": 35, ""spa"": 40, ""spd"": 40, ""spe"": 90}"
Persian,53,"[""Normal""]",0,32,,0,0,0,0,,"{""hp"": 65, ""atk"": 70, ""def"": 60, ""spa"": 65, ""spd"": 65, ""spe"": 115}"
Persian-Alola,53,"[""Dark""]",0,33,,0,0,0,0,,"{""hp"": 65, ""atk"": 60, ""def"": 60, ""spa"": 75, ""spd"": 65, ""spe"": 115}"
Psyduck,54,"[""Water""]",1,19.6,,0,0,0,0,,"{""hp"": 50, ""atk"": 52, ""def"": 48, ""spa"": 65, ""spd"": 50, ""spe"": 55}"
Golduck,55,"[""Water""]",0,76.6,,0,0,0,0,,"{""hp"": 80, ""atk"": 82, ""def"": 78, ""spa"": 95, ""spd"": 80, ""spe"": 85}"
Mankey,56,"[""Fighting""]",1,28,,0,0,0,0,,"{""hp"": 40, ""atk"": 80, ""def"": 35, ""spa"": 35, ""spd"": 45, ""spe"": 70}"
Primeape,57,"[""Fighting""]",1,32,,0,0,0,0,,"{""hp"": 65, ""atk"": 105, ""def"": 60, ""spa"": 60, ""spd"": 70, ""spe"": 95}"
Growlithe,58,"[""Fire""]",1,19,0.75,0,0,0,0,,"{""hp"": 55, ""atk"": 70, ""def"": 45, ""spa"": 70, ""spd"": 50, ""spe"": 60}"
Growlithe-Hisui,58,"[""Fire"", ""Rock""]",1,22.7,0.75,0,0,0,0,,"{""hp"": 60, ""atk"": 75, ""def"": 45, ""spa"": 65, ""spd"": 50, ""spe"": 55}"
Arcanine,59,"[""Fire""]",0,155,0.75,0,0,0,0,,"{""hp"": 90, ""atk"": 110, ""def"": 80, ""spa"": 100, ""spd"": 80, ""spe"": 95}"
Arcanine-Hisui,59,"[""Fire"", ""Rock""]",0,168,0.75,0,0,0,0,,"{""hp"": 95, ""atk"": 115, ""def"": 80, ""spa"": 95, ""spd"": 80, ""spe"": 90}"
Poliwag,60,"[""Water""]",1,12.4,,0,0,0,0,,"{""hp"": 40, ""atk"": 50, ""def"": 40, ""spa"": 40, ""spd"": 40, ""spe"": 90}"
Poliwhirl,61,"[""Water""]",1,20,,0,0,0,0,,"{""hp"": 65, ""atk"": 65, ""def"": 65, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Poliwrath,62,"[""Water"", ""Fighting""]",0,54,,0,0,0,0,,"{""hp"": 90, ""atk"": 95, ""def"": 95, ""spa"": 70, ""spd"": 90, ""spe"": 70}"
Abra,63,"[""Psychic""]",1,19.5,0.75,0,0,0,0,,"{""hp"": 25, ""atk"": 20, ""def"": 15, ""spa"": 105, ""spd"": 55, ""spe"": 90}"
Kadabra,64,"[""Psychic""]",1,56.5,0.75,0,0,0,0,,"{""hp"": 40, ""atk"": 35, ""def"": 30, ""spa"": 120, ""spd"": 70, ""spe"": 105}"
Alakazam,65,"[""Psychic""]",0,48,0.75,0,0,0,0,,"{""hp"": 55, ""atk"": 50, ""def"": 45, ""spa"": 135, ""spd"": 95, ""spe"": 120}"
Alakazam-Mega,65,"[""Psychic""]",0,48,0.75,0,0,0,1,Alakazite,"{""hp"": 55, ""atk"": 50, ""def"": 65, ""spa"": 175, ""spd"": 105, ""spe"": 150}"
Machop,66,"[""Fighting""]",1,19.5,0.75,0,0,0,0,,"{""hp"": 70, ""atk"": 80, ""def"": 50, ""spa"": 35, ""spd"": 35, ""spe"": 35}"
Machoke,67,"[""Fighting""]",1,70.5,0.75,0,0,0,0,,"{""hp"": 80, ""atk"": 100, ""def"": 70, ""spa"": 50, ""spd"": 60, ""spe"": 45}"
Machamp,68,"[""Fighting""]",0,130,0.75,0,0,0,0,,"{""hp"": 90, ""atk"": 130, ""def"": 80, ""spa"": 65, ""spd"": 85, ""spe"": 55}"
Machamp-Gmax,68,"[""Fighting""]",0,0,0.75,0,0,1,0,,"{""hp"": 90, ""atk"": 130, ""def"": 80, ""spa"": 65, ""spd"": 85, ""spe"": 55}"
Bellsprout,69,"[""Grass"", ""Poison""]",1,4,,0,0,0,0,,"{""hp"": 50, ""atk"": 75, ""def"": 35, ""spa"": 70, ""spd"": 30, ""spe"": 40}"
Weepinbell,70,"[""Grass"", ""Poison""]",1,6.4,,0,0,0,0,,"{""hp"": 65, ""atk"": 90, ""def"": 50, ""spa"": 85, ""spd"": 45, ""spe"": 55}"
Victreebel,71,"[""Grass"", ""Poison""]",0,15.5,,0,0,0,0,,"{""hp"": 80, ""atk"": 105, ""def"": 65, ""spa"": 100, ""spd"": 70, ""spe"": 70}"
Tentacool,72,"[""Water"", ""Poison""]",1,45.5,,0,0,0,0,,"{""hp"": 40, ""atk"": 40, ""def"": 35, ""spa"": 50, ""spd"": 100, ""spe"": 70}"
Tentacruel,73,"[""Water"", ""Poison""]",0,55,,0,0,0,0,,"{""hp"": 80, ""atk"": 70, ""def"": 65, ""spa"": 80, ""spd"": 120, ""spe"": 100}"
Geodude,74,"[""Rock"", ""Ground""]",1,20,,0,0,0,0,,"{""hp"": 40, ""atk"": 80, ""def"": 100, ""spa"": 30, ""spd"": 30, ""spe"": 20}"
Geodude-Alola,74,"[""Rock"", ""Electric""]",1,20.3,,0,0,0,0,,"{""hp"": 40, ""atk"": 80, ""def"": 100, ""spa"": 30, ""spd"": 30, ""spe"": 20}"
Graveler,75,"[""Rock"", ""Ground""]",1,105,,0,0,0,0,,"{""hp"": 55, ""atk"": 95, ""def"": 115, ""spa"": 45, ""spd"": 45, ""spe"": 35}"
Graveler-Alola,75,"[""Rock"", ""Electric""]",1,110,,0,0,0,0,,"{""hp"": 55, ""atk"": 95, ""def"": 115, ""spa"": 45, ""spd"": 45, ""spe"": 35}"
Golem,76,"[""Rock"", ""Ground""]",0,300,,0,0,0,0,,"{""hp"": 80, ""atk"": 120, ""def"": 130, ""spa"": 55, ""spd"": 65, ""spe"": 45}"
Golem-Alola,76,"[""Rock"", ""Electric""]",0,316,,0,0,0,0,,"{""hp"": 80, ""atk"": 120, ""def"": 130, ""spa"": 55, ""spd"": 65, ""spe"": 45}"
Ponyta,77,"[""Fire""]",1,30,,0,0,0,0,,"{""hp"": 50, ""atk"": 85, ""def"": 55, ""spa"": 65, ""spd"": 65, ""spe"": 90}"
Ponyta-Galar,77,"[""Psychic""]",1,24,,0,0,0,0,,"{""hp"": 50, ""atk"": 85, ""def"": 55, ""spa"": 65, ""spd"": 65, ""spe"": 90}"
Rapidash,78,"[""Fire""]",0,95,,0,0,0,0,,"{""hp"": 65, ""atk"": 100, ""def"": 70, ""spa"": 80, ""spd"": 80, ""spe"": 105}"
Rapidash-Galar,78,"[""Psychic"", ""Fairy""]",0,80,,0,0,0,0,,"{""hp"": 65, ""atk"": 100, ""def"": 70, ""spa"": 80, ""spd"": 80, ""spe"": 105}"
Slowpoke,79,"[""Water"", ""Psychic""]",1,36,,0,0,0,0,,"{""hp"": 90, ""atk"": 65, ""def"": 65, ""spa"": 40, ""spd"": 40, ""spe"": 15}"
Slowpoke-Galar,79,"[""Psychic""]",1,36,,0,0,0,0,,"{""hp"": 90, ""atk"": 65, ""def"": 65, ""spa"": 40, ""spd"": 40, ""spe"": 15}"
Slowbro,80,"[""Water"", ""Psychic""]",0,78.5,,0,0,0,0,,"{""hp"": 95, ""atk"": 75, ""def"": 110, ""spa"": 100, ""spd"": 80, ""spe"": 30}"
Slowbro-Mega,80,"[""Water"", ""Psychic""]",0,120,,0,0,0,1,Slowbronite,"{""hp"": 95, ""atk"": 75, ""def"": 180, ""spa"": 130, ""spd"": 80, ""spe"": 30}"
Slowbro-Galar,80,"[""Poison"", ""Psychic""]",0,70.5,,0,0,0,0,,"{""hp"": 95, ""atk"": 100, ""def"": 95, ""spa"": 100, ""spd"": 70, ""spe"": 30}"
Magnemite,81,"[""Electric"", ""Steel""]",1,6,,0,0,0,0,,"{""hp"": 25, ""atk"": 35, ""def"": 70, ""spa"": 95, ""spd"": 55, ""spe"": 45}"
Magneton,82,"[""Electric"", ""Steel""]",1,60,,0,0,0,0,,"{""hp"": 50, ""atk"": 60, ""def"": 95, ""spa"": 120, ""spd"": 70, ""spe"": 70}"
Farfetch’d,83,"[""Normal"", ""Flying""]",0,15,,0,0,0,0,,"{""hp"": 52, ""atk"": 90, ""def"": 55, ""spa"": 58, ""spd"": 62, ""spe"": 60}"
Farfetch’d-Galar,83,"[""Fighting""]",1,42,,0,0,0,0,,"{""hp"": 52, ""atk"": 95, ""def"": 55, ""spa"": 58, ""spd"": 62, ""spe"": 55}"
Doduo,84,"[""Normal"", ""Flying""]",1,39.2,,0,0,0,0,,"{""hp"": 35, ""atk"": 85, ""def"": 45, ""spa"": 35, ""spd"": 35, ""spe"": 75}"
Dodrio,85,"[""Normal"", ""Flying""]",0,85.2,,0,0,0,0,,"{""hp"": 60, ""atk"": 110, ""def"": 70, ""spa"": 60, ""spd"": 60, ""spe"": 110}"
Seel,86,"[""Water""]",1,90,,0,0,0,0,,"{""hp"": 65, ""atk"": 45, ""def"": 55, ""spa"": 45, ""spd"": 70, ""spe"": 45}"
Dewgong,87,"[""Water"", ""Ice""]",0,120,,0,0,0,0,,"{""hp"": 90, ""atk"": 70, ""def"": 80, ""spa"": 70, ""spd"": 95, ""spe"": 70}"
Grimer,88,"[""Poison""]",1,30,,0,0,0,0,,"{""hp"": 80, ""atk"": 80, ""def"": 50, ""spa"": 40, ""spd"": 50, ""spe"": 25}"
Grimer-Alola,88,"[""Poison"", ""Dark""]",1,42,,0,0,0,0,,"{""hp"": 80, ""atk"": 80, ""def"": 50, ""spa"": 40, ""spd"": 50, ""spe"": 25}"
Muk,89,"[""Poison""]",0,30,,0,0,0,0,,"{""hp"": 105, ""atk"": 105, ""def"": 75, ""spa"": 65, ""spd"": 100, ""spe"": 50}"
Muk-Alola,89,"[""Poison"", ""Dark""]",0,52,,0,0,0,0,,"{""hp"": 105, ""atk"": 105, ""def"": 75, ""spa"": 65, ""spd"": 100, ""spe"": 50}"
Shellder,90,"[""Water""]",1,4,,0,0,0,0,,"{""hp"": 30, ""atk"": 65, ""def"": 100, ""spa"": 45, ""spd"": 25, ""spe"": 40}"
Cloyster,91,"[""Water"", ""Ice""]",0,132.5,,0,0,0,0,,"{""hp"": 50, ""atk"": 95, ""def"": 180, ""spa"": 85, ""spd"": 45, ""spe"": 70}"
Gastly,92,"[""Ghost"", ""Poison""]",1,0.1,,0,0,0,0,,"{""hp"": 30, ""atk"": 35, ""def"": 30, ""spa"": 100, ""spd"": 35, ""spe"": 80}"
