name,type,dex_num,category,target,power,accuracy,priority,pp,short_description,long_description,has_secondary_effect,is_multi_hit,multi_hit_high,multi_hit_low,ignores_substitute,ignores_protect,bounceable,bite,bullet,contact,dance,heal,powder,pulse,punch,slice,sound,wind,boosted_by_sheer_force,ohko,is_z_move,is_max_move,is_legal
After You,"""Normal""",495,Status,normal,0,-1,0,15,The target makes its move right after the user.,"The target makes its move immediately after the user this turn, no matter the priority of its selected move. Fails if the target would have moved next anyway, or if the target already moved this turn.",0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Agility,"""Psychic""",97,Status,self,0,-1,0,30,Raises the user's Speed by 2.,Raises the user's Speed by 2 stages.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Air Cutter,"""Flying""",314,Special,allAdjacentFoes,60,95,0,25,High critical hit ratio. Hits adjacent foes.,Has a higher chance for a critical hit.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Air Slash,"""Flying""",403,Special,any,75,95,0,15,30% chance to make the target flinch.,Has a 30% chance to make the target flinch.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
All-Out Pummeling,"""Fighting""",624,Physical,normal,1,-1,0,1,Power is equal to the base move's Z-Power.,Power is equal to the base move's Z-Power.,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alluring Voice,"""Fairy""",914,Special,normal,80,100,0,10,100% confuse target that had a stat rise this turn.,Has a 100% chance to confuse the target if it had a stat stage raised this turn.,1,0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Ally Switch,"""Psychic""",502,Status,self,0,-1,2,15,User and ally swap positions; using again can fail.,"The user swaps positions with its ally. Fails if the user is the only Pokemon on its side. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails or if the user's last move used is not Ally Switch.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Amnesia,"""Psychic""",133,Status,self,0,-1,0,20,Raises the user's Sp. Def by 2.,Raises the user's Special Defense by 2 stages.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anchor Shot,"""Steel""",677,Physical,normal,80,100,0,20,Prevents the target from switching out.,"Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field.",1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Ancient Power,"""Rock""",246,Special,normal,60,100,0,5,10% chance to raise all stats by 1 (not acc/eva).,"Has a 10% chance to raise the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage.",1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Apple Acid,"""Grass""",787,Special,normal,80,100,0,10,100% chance to lower the target's Sp. Def by 1.,Has a 100% chance to lower the target's Special Defense by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Aqua Cutter,"""Water""",895,Physical,normal,70,100,0,20,High critical hit ratio.,Has a higher chance for a critical hit.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aqua Jet,"""Water""",453,Physical,normal,40,100,1,20,Usually goes first.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Aqua Ring,"""Water""",392,Status,self,0,-1,0,20,User recovers 1/16 max HP per turn.,"The user has 1/16 of its maximum HP, rounded down, restored at the end of each turn while it remains active. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down. If the user uses Baton Pass, the replacement will receive the healing effect.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aqua Step,"""Water""",872,Physical,normal,80,100,0,10,100% chance to raise the user's Speed by 1.,Has a 100% chance to raise the user's Speed by 1 stage.,1,0,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
Aqua Tail,"""Water""",401,Physical,normal,90,90,0,10,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Armor Cannon,"""Fire""",890,Special,normal,120,100,0,5,Lowers the user's Defense and Sp. Def by 1.,Lowers the user's Defense and Special Defense by 1 stage.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arm Thrust,"""Fighting""",292,Physical,normal,15,100,0,20,Hits 2-5 times in one turn.,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times. If the user is holding Loaded Dice, this move will hit 4-5 times.",0,1,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Aromatherapy,"""Grass""",312,Status,allyTeam,0,-1,0,5,Cures the user's party of all status conditions.,"Every Pokemon in the user's party is cured of its non-volatile status condition. Active Pokemon with the Sap Sipper Ability are not cured, unless they are the user.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aromatic Mist,"""Fairy""",597,Status,adjacentAlly,0,-1,0,20,Raises an ally's Sp. Def by 1.,Raises the target's Special Defense by 1 stage. Fails if there is no ally adjacent to the user.,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Assist,"""Normal""",274,Status,self,0,-1,0,20,Uses a random move known by a team member.,"A random move among those known by the user's party members is selected for use. Does not select Assist, Baneful Bunker, Beak Blast, Belch, Bestow, Blazing Torque, Bounce, Celebrate, Chatter, Circle Throw, Combat Torque, Copycat, Counter, Covet, Destiny Bond, Detect, Dig, Dive, Dragon Tail, Endure, Feint, Fly, Focus Punch, Follow Me, Helping Hand, Hold Hands, King's Shield, Magical Torque, Mat Block, Me First, Metronome, Mimic, Mirror Coat, Mirror Move, Nature Power, Noxious Torque, Phantom Force, Protect, Rage Powder, Roar, Shadow Force, Shell Trap, Sketch, Sky Drop, Sleep Talk, Snatch, Spiky Shield, Spotlight, Struggle, Switcheroo, Tera Starstorm, Thief, Transform, Trick, Whirlwind, or Wicked Torque.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assurance,"""Dark""",372,Physical,normal,60,100,0,10,Power doubles if target was damaged this turn.,"Power doubles if the target has already taken damage this turn, other than direct damage from Belly Drum, confusion, Curse, or Pain Split.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Astonish,"""Ghost""",310,Physical,normal,30,100,0,15,30% chance to make the target flinch.,Has a 30% chance to make the target flinch.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Astral Barrage,"""Ghost""",825,Special,allAdjacentFoes,120,100,0,5,No additional effect. Hits adjacent foes.,No additional effect.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Attack Order,"""Bug""",454,Physical,normal,90,100,0,15,High critical hit ratio.,Has a higher chance for a critical hit.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Attract,"""Normal""",213,Status,normal,0,100,0,15,A target of the opposite gender gets infatuated.,"Causes the target to become infatuated, making it unable to attack 50% of the time. Fails if both the user and the target are the same gender, if either is genderless, or if the target is already infatuated. The effect ends when either the user or the target is no longer active. Pokemon with the Oblivious Ability or protected by the Aroma Veil Ability are immune.",0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aura Sphere,"""Fighting""",396,Special,any,80,-1,0,20,This move does not check accuracy.,This move does not check accuracy.,0,0,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Aura Wheel,"""Electric""",783,Physical,normal,110,100,0,10,Morpeko: Electric; Hangry: Dark; 100% +1 Spe.,"Has a 100% chance to raise the user's Speed by 1 stage. If the user is a Morpeko in Full Belly Mode, this move is Electric type. If the user is a Morpeko in Hangry Mode, this move is Dark type. This move cannot be used successfully unless the user's current form, while considering Transform, is Full Belly or Hangry Mode Morpeko.",1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Aurora Beam,"""Ice""",62,Special,normal,65,100,0,20,10% chance to lower the target's Attack by 1.,Has a 10% chance to lower the target's Attack by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Aurora Veil,"""Ice""",694,Status,allySide,0,-1,0,20,"For 5 turns, damage to allies halved. Snow only.","For 5 turns, the user and its party members take 0.5x damage from physical and special attacks, or 0.66x damage if in a Double Battle; does not reduce damage further with Reflect or Light Screen. Critical hits ignore this protection. It is removed from the user's side if the user or an ally is successfully hit by Brick Break, Psychic Fangs, or Defog. Brick Break and Psychic Fangs remove the effect before damage is calculated. Lasts for 8 turns if the user is holding Light Clay. Fails unless the weather is Snow.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Autotomize,"""Steel""",475,Status,self,0,-1,0,15,Raises the user's Speed by 2; user loses 100 kg.,"Raises the user's Speed by 2 stages. If the user's Speed was changed, the user's weight is reduced by 100 kg as long as it remains active. This effect is stackable but cannot reduce the user's weight to less than 0.1 kg.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avalanche,"""Ice""",419,Physical,normal,60,100,-4,10,Power doubles if user is damaged by the target.,Power doubles if the user was hit by the target this turn.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Axe Kick,"""Fighting""",853,Physical,normal,120,90,0,10,30% confusion. User loses 50% max HP if miss.,"Has a 30% chance to confuse the target. If this attack is not successful, the user loses half of its maximum HP, rounded down, as crash damage. Pokemon with the Magic Guard Ability are unaffected by crash damage.",1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Baby-Doll Eyes,"""Fairy""",608,Status,normal,0,100,1,30,Lowers the target's Attack by 1.,Lowers the target's Attack by 1 stage.,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Baddy Bad,"""Dark""",737,Special,normal,80,95,0,15,Summons Reflect.,This move summons Reflect for 5 turns upon use.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baneful Bunker,"""Poison""",661,Status,self,0,-1,4,10,Protects from moves. Contact: poison.,"The user is protected from most attacks made by other Pokemon during this turn, and Pokemon making contact with the user become poisoned. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Burning Bulwark, Detect, Endure, King's Shield, Max Guard, Obstruct, Protect, Quick Guard, Silk Trap, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barb Barrage,"""Poison""",839,Physical,normal,60,100,0,10,50% psn. 2x power if target already poisoned.,Has a 50% chance to poison the target. Power doubles if the target is already poisoned.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Barrage,"""Normal""",140,Physical,normal,15,85,0,20,Hits 2-5 times in one turn.,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times.",0,1,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrier,"""Psychic""",112,Status,self,0,-1,0,20,Raises the user's Defense by 2.,Raises the user's Defense by 2 stages.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baton Pass,"""Normal""",226,Status,self,0,-1,0,40,"User switches, passing stat changes and more.","The user is replaced with another Pokemon in its party. The selected Pokemon has the user's stat stage changes transferred to it, as well as the effects of confusion, Aqua Ring, Curse, Dragon Cheer, Embargo, Focus Energy, Gastro Acid, Heal Block, Ingrain, Leech Seed, Lock-On (Mind Reader), Magnet Rise, Perish Song, Power Trick, Telekinesis, and a substitute with its remaining HP. The effect of Gastro Acid is not transferred if the recipient has an Ability that cannot be affected.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Beak Blast,"""Flying""",690,Physical,normal,100,100,-3,15,Burns on contact with the user before it moves.,"If the user is hit by a contact move this turn before it can execute this move, the attacker is burned.",0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Beat Up,"""Dark""",251,Physical,normal,0,100,0,10,All healthy allies aid in damaging the target.,"Hits one time for the user and one time for each unfainted Pokemon without a non-volatile status condition in the user's party. The power of each hit is equal to 5+(X/10), where X is each participating Pokemon's base Attack; each hit is considered to come from the user.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Behemoth Bash,"""Steel""",782,Physical,normal,100,100,0,5,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Behemoth Blade,"""Steel""",781,Physical,normal,100,100,0,5,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Belch,"""Poison""",562,Special,normal,120,90,0,10,Cannot be selected until the user eats a Berry.,"This move cannot be selected until the user eats a Berry, either by eating one that was held, stealing and eating one off another Pokemon with Bug Bite or Pluck, or eating one that was thrown at it with Fling. Once the condition is met, this move can be selected and used for the rest of the battle even if the user gains or uses another item or switches out. Consuming a Berry with Natural Gift does not count for the purposes of eating one.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Belly Drum,"""Normal""",187,Status,self,0,-1,0,10,User loses 50% max HP. Maximizes Attack.,"Raises the user's Attack by 12 stages in exchange for the user losing 1/2 of its maximum HP, rounded down. Fails if the user would faint or if its Attack stat stage is 6.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bestow,"""Normal""",516,Status,normal,0,-1,0,15,User passes its held item to the target.,"The target receives the user's held item. Fails if the user has no item or is holding a Mail or Z-Crystal, if the target is already holding an item, if the user is a Kyogre holding a Blue Orb, a Groudon holding a Red Orb, a Giratina holding a Griseous Orb, an Arceus holding a Plate, a Genesect holding a Drive, a Silvally holding a Memory, a Pokemon that can Mega Evolve holding the Mega Stone for its species, or if the target is one of those Pokemon and the user is holding the respective item.",0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bide,"""Normal""",117,Physical,self,0,-1,1,10,Waits 2 turns; deals double the damage taken.,"The user spends two turns locked into this move and then, on the second turn after using this move, the user attacks the last Pokemon that hit it, inflicting double the damage in HP it lost to attacks during the two turns. If the last Pokemon that hit it is no longer active, the user attacks a random opposing Pokemon instead. If the user is prevented from moving during this move's use, the effect ends. This move does not check accuracy and does not ignore type immunity.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bind,"""Normal""",20,Physical,normal,15,85,0,20,Traps and damages the target for 4-5 turns.,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Bite,"""Dark""",44,Physical,normal,60,100,0,25,30% chance to make the target flinch.,Has a 30% chance to make the target flinch.,1,0,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Bitter Blade,"""Fire""",891,Physical,normal,90,100,0,10,User recovers 50% of the damage dealt.,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",0,0,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Bitter Malice,"""Ghost""",841,Special,normal,75,100,0,10,100% chance to lower the target's Attack by 1.,Has a 100% chance to lower the target's Attack by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Black Hole Eclipse,"""Dark""",654,Physical,normal,1,-1,0,1,Power is equal to the base move's Z-Power.,Power is equal to the base move's Z-Power.,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Blast Burn,"""Fire""",307,Special,normal,150,90,0,5,User cannot move next turn.,"If this move is successful, the user must recharge on the following turn and cannot select a move.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Blaze Kick,"""Fire""",299,Physical,normal,85,90,0,10,High critical hit ratio. 10% chance to burn.,Has a 10% chance to burn the target and a higher chance for a critical hit.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Blazing Torque,"""Fire""",896,Physical,normal,80,100,0,10,30% chance to burn the target.,Has a 30% chance to burn the target.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bleakwind Storm,"""Flying""",846,Special,allAdjacentFoes,100,80,0,10,30% to lower foe(s) Speed by 1. Rain: can't miss.,"Has a 30% chance to lower the target's Speed by 1 stage. If the weather is Primordial Sea or Rain Dance, this move does not check accuracy. If this move is used against a Pokemon holding Utility Umbrella, this move's accuracy remains at 80%.",1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Blizzard,"""Ice""",59,Special,allAdjacentFoes,110,70,0,5,10% chance to freeze foe(s). Can't miss in Snow.,"Has a 10% chance to freeze the target. If the weather is Snow, this move does not check accuracy.",1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Block,"""Normal""",335,Status,normal,0,-1,0,5,Prevents the target from switching out.,"Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field.",0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Blood Moon,"""Normal""",901,Special,normal,140,100,0,5,Cannot be selected the turn after it's used.,Cannot be selected the turn after it's used.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bloom Doom,"""Grass""",644,Physical,normal,1,-1,0,1,Power is equal to the base move's Z-Power.,Power is equal to the base move's Z-Power.,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Blue Flare,"""Fire""",551,Special,normal,130,85,0,5,20% chance to burn the target.,Has a 20% chance to burn the target.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Body Press,"""Fighting""",776,Physical,normal,80,100,0,10,Uses user's Def stat as Atk in damage calculation.,"Damage is calculated using the user's Defense stat as its Attack, including stat stage changes. Other effects that modify the Attack stat are used as normal.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Body Slam,"""Normal""",34,Physical,normal,85,100,0,15,30% chance to paralyze the target.,Has a 30% chance to paralyze the target. Damage doubles and no accuracy check is done if the target has used Minimize while active.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Bolt Beak,"""Electric""",754,Physical,normal,85,100,0,10,Power doubles if user moves before the target.,Power doubles if the user moves before the target.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolt Strike,"""Electric""",550,Physical,normal,130,85,0,5,20% chance to paralyze the target.,Has a 20% chance to paralyze the target.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Bone Club,"""Ground""",125,Physical,normal,65,85,0,20,10% chance to make the target flinch.,Has a 10% chance to make the target flinch.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bonemerang,"""Ground""",155,Physical,normal,50,90,0,10,Hits 2 times in one turn.,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit.",0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bone Rush,"""Ground""",198,Physical,normal,25,90,0,10,Hits 2-5 times in one turn.,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times. If the user is holding Loaded Dice, this move will hit 4-5 times.",0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Boomburst,"""Normal""",586,Special,allAdjacent,140,100,0,10,No additional effect. Hits adjacent Pokemon.,No additional effect.,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bounce,"""Flying""",340,Physical,any,85,85,0,5,Bounces turn 1. Hits turn 2. 30% paralyze.,"Has a 30% chance to paralyze the target. This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Gust, Hurricane, Sky Uppercut, Smack Down, Thousand Arrows, Thunder, and Twister, and Gust and Twister have doubled power when used against it. If the user is holding a Power Herb, the move completes in one turn.",1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Bouncy Bubble,"""Water""",733,Special,normal,60,100,0,20,User recovers 50% of the damage dealt.,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Branch Poke,"""Grass""",785,Physical,normal,40,100,0,40,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Brave Bird,"""Flying""",413,Physical,any,120,100,0,15,Has 33% recoil.,"If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Breaking Swipe,"""Dragon""",784,Physical,allAdjacentFoes,60,100,0,15,100% chance to lower the foe(s) Attack by 1.,Has a 100% chance to lower the target's Attack by 1 stage.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Breakneck Blitz,"""Normal""",622,Physical,normal,1,-1,0,1,Power is equal to the base move's Z-Power.,Power is equal to the base move's Z-Power.,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brick Break,"""Fighting""",280,Physical,normal,75,100,0,15,"Destroys screens, unless the target is immune.","If this attack does not miss, the effects of Reflect, Light Screen, and Aurora Veil end for the target's side of the field before damage is calculated.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Brine,"""Water""",362,Special,normal,65,100,0,10,Power doubles if the target's HP is 50% or less.,Power doubles if the target has less than or equal to half of its maximum HP remaining.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brutal Swing,"""Dark""",693,Physical,allAdjacent,60,100,0,20,No additional effect. Hits adjacent Pokemon.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Bubble,"""Water""",145,Special,allAdjacentFoes,40,100,0,30,10% chance to lower the foe(s) Speed by 1.,Has a 10% chance to lower the target's Speed by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bubble Beam,"""Water""",61,Special,normal,65,100,0,20,10% chance to lower the target's Speed by 1.,Has a 10% chance to lower the target's Speed by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bug Bite,"""Bug""",450,Physical,normal,60,100,0,20,User steals and eats the target's Berry.,"If this move is successful and the user has not fainted, it steals the target's held Berry if it is holding one and eats it immediately, gaining its effects even if the user's item is being ignored. Items lost to this move cannot be regained with Recycle or the Harvest Ability.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Bug Buzz,"""Bug""",405,Special,normal,90,100,0,10,10% chance to lower the target's Sp. Def by 1.,Has a 10% chance to lower the target's Special Defense by 1 stage.,1,0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
