id,name,dex_num,description,blocked_by_neut_gas,ignored
34477239-38ec-4f2a-8f67-e88abdb6a21d,Comatose,213,"This Pokemon cannot be statused, and is considered to be asleep.",true,false
34a94ebc-66b4-42a8-bb11-684addd064d1,Sharpness,292,This Pokemon's slicing moves have their power multiplied by 1.5.,false,false
34f0c11b-aed5-4e3c-a709-a96854e79106,Psychic Surge,227,"On switch-in, this Pokemon summons Psychic Terrain.",false,false
367e6310-9948-414a-8553-32f4816ab694,Truant,54,This Pokemon skips every other turn instead of using a move.,false,false
3727a23c-0f09-4bc1-bd0e-2cd0675bafce,Solar Power,94,"If Sunny Day is active, this Pokemon's Sp. Atk is 1.5x; loses 1/8 max HP per turn.",false,false
3755fd05-874e-43c1-850b-abb148be1dd3,Aftermath,106,"If this Pokemon is KOed with a contact move, that move's user loses 1/4 its max HP.",false,false
3aa80a19-5549-47b8-999e-5aa6f8f38141,Suction Cups,21,This Pokemon cannot be forced to switch out by another Pokemon's attack or item.,false,false
3aebe557-cd51-44fe-8f67-ee651efab19e,No Guard,99,Every move used by or against this Pokemon will always hit.,false,false
3b1353b2-3d71-41d4-8d1a-bdfdadac0891,Damp,6,Prevents Explosion/Mind Blown/Misty Explosion/Self-Destruct/Aftermath while active.,false,false
3b5ff432-d332-4c16-beac-760264c886a1,Armor Tail,296,This Pokemon and its allies are protected from opposing priority moves.,false,false
3baa62d3-0897-4317-bc9d-e3ad617263b1,Compound Eyes,14,This Pokemon's moves have their accuracy multiplied by 1.3.,false,false
3c14d9a7-d498-4405-ad10-d02dcd379238,Iron Barbs,160,Pokemon making contact with this Pokemon lose 1/8 of their max HP.,false,false
3c3ad733-172c-41e0-ab9c-936b10887a75,Poison Point,38,30% chance a Pokemon making contact with this Pokemon will be poisoned.,false,false
3e48e961-4bd9-4a25-981e-9ca1ea516e60,Harvest,139,"If last item used is a Berry, 50% chance to restore it each end of turn. 100% in Sun.",false,false
3f5335a9-45bc-4320-a93a-ee097f552cf5,Mega Launcher,178,This Pokemon's pulse moves have 1.5x power. Heal Pulse heals 3/4 target's max HP.,false,false
401b03ba-882f-4453-8366-15a5d653e54f,Toxic Chain,305,This Pokemon's attacks have a 30% chance of badly poisoning.,false,false
40607e6c-f88a-43bb-9a0f-efb17bd386ac,Mimicry,250,This Pokemon's types change to match the Terrain. Type reverts when Terrain ends.,false,false
421d53ad-bad8-466b-86a8-95a4203aecb4,Magician,170,"If this Pokemon has no item, it steals the item off a Pokemon it hits with an attack.",false,false
42f3679b-bae4-4ae6-8bb0-6669c5391a06,Wind Power,277,This Pokemon gains the Charge effect when hit by a wind move or Tailwind begins.,false,false
439b05b6-8d60-40b6-a46b-2c69648e7ea2,Aura Break,188,"While this Pokemon is active, the Dark Aura and Fairy Aura power modifier is 0.75x.",false,false
43c4f371-a026-43cb-832b-ad8cecf9a58a,Adaptability,91,This Pokemon's same-type attack bonus (STAB) is 2 instead of 1.5.,false,false
46e2f8c0-82a6-4ab8-8607-fa61b59abf18,Aerilate,184,This Pokemon's Normal-type moves become Flying type and have 1.2x power.,false,false
4b9c8345-a053-4448-b656-0a35f67ae50f,Infiltrator,151,Moves ignore substitutes and foe's Reflect/Light Screen/Safeguard/Mist/Aurora Veil.,false,false
4c2cbb34-ba08-4787-95b8-f9350cab7512,Embody Aspect (Hearthflame),303,"On switch-in, this Pokemon's Attack is raised by 1 stage.",false,false
4d1bf273-219b-4c6b-8195-ff0437bebd78,Unnerve,127,"While this Pokemon is active, it prevents opposing Pokemon from using their Berries.",false,false
4dfbab8c-2e24-46a2-82d7-0142fc6d944c,Wonder Guard,25,This Pokemon can only be damaged by supereffective moves and indirect damage.,false,false
4f315cbc-ab50-4050-ac81-105fb08683a5,Fairy Aura,187,"While this Pokemon is active, a Fairy move used by any Pokemon has 1.33x power.",false,false
4fab4f54-5676-4f0a-b8b0-00477dc0a64d,Contrary,126,"If this Pokemon has a stat stage raised it is lowered instead, and vice versa.",false,false
510cc1fa-88c0-4c75-bd0a-31d2f135b60e,Opportunist,290,"When an opposing Pokemon has a stat stage raised, this Pokemon copies the effect.",false,false
51113f39-5884-443f-b3c5-e756ab9a8aca,Bad Dreams,123,Causes sleeping foes to lose 1/8 of their max HP at the end of each turn.,false,false
51ec4ee3-cc02-4aed-b056-0bc9c48b351c,Libero,236,This Pokemon's type changes to the type of the move it is using. Once per switch-in.,false,false
525ee545-d8d4-474d-974e-32e01e99ab8a,Commander,279,"If ally is Dondozo: this Pokemon cannot act or be hit, +2 to all Dondozo's stats.",false,false
52f859a8-4197-4c38-bf11-00282510187a,Heavy Metal,134,This Pokemon's weight is doubled.,false,false
5390a51d-25cd-4e51-8b0e-8067913c4ea0,Sturdy,5,"If this Pokemon is at full HP, it survives one hit with at least 1 HP. Immune to OHKO.",false,false
53b58e9b-b6a5-4087-936b-8d8b080d90c3,Iron Fist,89,This Pokemon's punch-based attacks have 1.2x power. Sucker Punch is not boosted.,false,false
545d3d72-5e66-4c4d-88c9-94dcec70ad08,Cute Charm,56,30% chance of infatuating Pokemon of the opposite gender if they make contact.,false,false
54f540a9-f60e-4e9b-a76b-0eddfb1891fd,Dry Skin,87,"This Pokemon is healed 1/4 by Water, 1/8 by Rain; is hurt 1.25x by Fire, 1/8 by Sun.",false,false
550b904b-74b0-4349-9789-77b3a4069d41,Filter,111,This Pokemon receives 3/4 damage from supereffective attacks.,false,false
5747f593-cdd3-42cd-9b3c-9de2a6f98789,Speed Boost,3,This Pokemon's Speed is raised 1 stage at the end of each full turn on the field.,false,false
595a3ba0-d367-4a6d-b949-84b2b92827cb,Tablets of Ruin,284,Active Pokemon without this Ability have their Attack multiplied by 0.75.,false,false
59c2d379-a9d7-4aca-bcb1-148dd0987466,Electric Surge,226,"On switch-in, this Pokemon summons Electric Terrain.",false,false
59e6a1d0-c1db-4703-8063-6f2f817d7af0,Drizzle,2,"On switch-in, this Pokemon summons Rain Dance.",false,false
5a0c9b33-6522-47a1-bf08-4738eb6d070a,Chilling Neigh,264,This Pokemon's Attack is raised by 1 stage if it attacks and KOes another Pokemon.,false,false
5a40c372-38a3-4045-8580-342e5476a202,Victory Star,162,This Pokemon and its allies' moves have their accuracy multiplied by 1.1.,false,false
5a75383b-eec2-4a38-87dd-592bd3374ac8,Klutz,103,"This Pokemon's held item has no effect, except Macho Brace. Fling cannot be used.",false,false
5bdcf6d1-9c5c-4ce5-a42e-6b3a30150d7b,Delta Stream,191,"On switch-in, strong winds begin until this Ability is not active in battle.",false,false
5d257bae-9bb7-4fa9-bd3e-afc1e673eeac,Purifying Salt,272,Ghost damage to this Pokemon dealt with a halved offensive stat; can't be statused.,false,false
5df1d46c-adc9-4d63-8480-fbd34f09f8ce,White Smoke,73,Prevents other Pokemon from lowering this Pokemon's stat stages.,false,false
5f5a7791-0969-44b6-832b-8c6192491e28,Technician,101,"This Pokemon's moves of 60 power or less have 1.5x power, including Struggle.",false,false
629f1880-dd76-44a4-868b-de54a7666ddb,Hadron Engine,289,"On switch-in, summons Electric Terrain. During Electric Terrain, Sp. Atk is 1.3333x.",false,false
62a2c68a-cd47-40fd-85e4-d5a55379a32b,Simple,86,"When one of this Pokemon's stat stages is raised or lowered, the amount is doubled.",false,false
6302dfeb-0231-4663-b92e-e70b006ce89d,Normalize,96,This Pokemon's moves are changed to be Normal type and have 1.2x power.,false,false
63063044-c01f-4a20-9837-7e45a23db071,Shields Down,197,"If Minior, switch-in/end of turn it changes to Core at 1/2 max HP or less, else Meteor.",true,false
641095c0-e441-490f-a863-d3bc1866227a,Early Bird,48,This Pokemon's sleep counter drops by 2 instead of 1.,false,false
6488e47d-36ce-43e9-9b47-93192988464b,Static,9,30% chance a Pokemon making contact with this Pokemon will be paralyzed.,false,false
648ba7cd-9a63-4196-9b2c-36783b1fe050,Shell Armor,75,This Pokemon cannot be struck by a critical hit.,false,false
65161a51-0ce3-45ad-ad84-7f4756382892,Shadow Tag,23,Prevents foes from choosing to switch unless they also have this Ability.,false,false
6562154e-3c8a-4bdd-987f-45234e62ac8e,Protean,168,This Pokemon's type changes to the type of the move it is using. Once per switch-in.,false,false
6578a6fd-5834-4825-91f4-13d39d9fcd31,Grass Pelt,179,"If Grassy Terrain is active, this Pokemon's Defense is multiplied by 1.5.",false,false
659317be-629e-4188-a0e9-9926641ad3d3,As One (Glastrier),266,Combination of the Unnerve and Chilling Neigh Abilities.,true,false
66c8d298-2bec-4ad6-9667-084a8ba5b728,Big Pecks,145,Prevents other Pokemon from lowering this Pokemon's Defense stat stage.,false,false
66cd8099-eb39-48de-ad6e-03c4429bd4e3,Good as Gold,283,This Pokemon is immune to Status moves.,false,false
67c6aa2e-a8b3-4460-ae5f-bd4903b0d7d8,Sand Rush,146,"If Sandstorm is active, this Pokemon's Speed is doubled; immunity to Sandstorm.",false,false
67eef122-0fc8-49fa-814f-d9189ca56f46,Battle Bond,210,"After KOing a Pokemon: raises Attack, Sp. Atk, Speed by 1 stage. Once per battle.",true,false
68abf0c6-7024-47cb-807e-2a4a482b1c1b,Dauntless Shield,235,"On switch-in, this Pokemon's Defense is raised by 1 stage. Once per battle.",false,false
693b54a8-6f8d-4665-9f08-ab8d275c24e9,Parental Bond,185,This Pokemon's damaging moves hit twice. The second hit has its damage quartered.,false,false
69628ef0-84a0-49ae-aeef-b1598bfec40b,Overgrow,65,"At 1/3 or less of its max HP, this Pokemon's offensive stat is 1.5x with Grass attacks.",false,false
6c42c91a-156a-42e8-9f25-f80823ab2b9e,Quick Feet,95,"If this Pokemon is statused, its Speed is 1.5x; ignores Speed drop from paralysis.",false,false
70da7527-3057-47a2-a482-67fa96429eb8,Triage,205,This Pokemon's healing moves have their priority increased by 3.,false,false
70dda19c-8924-4314-9561-d9bf96934188,Power of Alchemy,223,This Pokemon copies the Ability of an ally that faints.,false,false
726c1285-fa23-4301-963b-3d7a78dc90f8,Shadow Shield,231,"If this Pokemon is at full HP, damage taken from attacks is halved.",false,false
72759dae-410c-48ff-ac5e-e511792f069d,Prankster,158,"This Pokemon's Status moves have priority raised by 1, but Dark types are immune.",false,false
7592989d-dd25-43aa-beca-ab46ba149788,Flower Gift,122,"If user is Cherrim and Sunny Day is active, it and allies' Attack and Sp. Def are 1.5x.",false,false
761189b5-1235-47e4-8e84-79ee2506a9cc,Anger Point,83,"If this Pokemon (not its substitute) takes a critical hit, its Attack is raised 12 stages.",false,false
767858c8-9a7a-4145-a112-527780bdef70,Storm Drain,114,This Pokemon draws Water moves to itself to raise Sp. Atk by 1; Water immunity.,false,false
76a82351-5b31-4b0f-8a79-6ec504b4efd6,Run Away,50,No competitive use.,false,false
76c68823-d595-4a44-939b-64fbd7389ec5,Zen Mode,161,"If Darmanitan, at end of turn changes Mode to Standard if > 1/2 max HP, else Zen.",true,false
76faba4f-247b-4bed-90b7-65ef2df59b66,Intrepid Sword,234,"On switch-in, this Pokemon's Attack is raised by 1 stage. Once per battle.",false,false
770b0e3b-be36-4b83-b1cd-99d2c6d24d09,Guts,62,"If this Pokemon is statused, its Attack is 1.5x; ignores burn halving physical damage.",false,false
77544a91-7a1c-4b00-8b37-52b547098157,Steam Engine,243,This Pokemon's Speed is raised by 6 stages after it is damaged by Fire/Water moves.,false,false
7842f41a-4fa7-4776-80e7-aad9da77892e,Stamina,192,This Pokemon's Defense is raised by 1 stage after it is damaged by a move.,false,false
78664b1c-d145-4266-b197-d0a34a14a40c,Limber,7,This Pokemon cannot be paralyzed. Gaining this Ability while paralyzed cures it.,false,false
790dccc0-b4c3-4180-bbb6-23fd756c674c,Grassy Surge,229,"On switch-in, this Pokemon summons Grassy Terrain.",false,false
795d3e0e-e971-4748-b80b-05258ff1718d,Protosynthesis,281,"Sunny Day active or Booster Energy used: highest stat is 1.3x, or 1.5x if Speed.",false,false
7af43707-7b62-4046-9f49-cb5d54aed0bf,Toxic Debris,295,"If this Pokemon is hit by a physical attack, Toxic Spikes are set on the opposing side.",false,false
7b65329d-a8c3-49c8-b0bb-23fe12c1c6c9,Refrigerate,174,This Pokemon's Normal-type moves become Ice type and have 1.2x power.,false,false
7bae3d5a-cbfd-47d7-b5d8-411523f8cb61,Flame Body,49,30% chance a Pokemon making contact with this Pokemon will be burned.,false,false
7c554353-bcbd-4fa8-93a8-96c60c02c42f,Gulp Missile,241,"When hit after Surf/Dive, attacker takes 1/4 max HP and -1 Defense or paralysis.",true,false
7d1a1066-5231-47bd-8981-c57d1dd30db3,Defiant,128,This Pokemon's Attack is raised by 2 for each of its stats that is lowered by a foe.,false,false
7d62cae2-f6ac-49c7-a82c-91b4cf26349d,Drought,70,"On switch-in, this Pokemon summons Sunny Day.",false,false
7d645d1b-d4fc-4e1b-be8f-f8b6c0adbe0d,Gale Wings,177,"If this Pokemon is at full HP, its Flying-type moves have their priority increased by 1.",false,false
7db9cd87-3e20-427a-be65-c4228a937b10,Healer,131,30% chance this Pokemon's ally has its status cured at the end of each turn.,false,false
7e94becb-4353-42a7-9646-1402143689a4,Teraform Zero,309,Terapagos: Terastallizing ends the effects of weather and terrain. Once per battle.,false,false
7f7c79c7-2e9c-4bd2-a808-7b1fa748cd0f,Arena Trap,71,Prevents opposing Pokemon from choosing to switch out unless they are airborne.,false,false
7fb6d844-0a2d-4725-9d64-427a3d2b169a,Motor Drive,78,This Pokemon's Speed is raised 1 stage if hit by an Electric move; Electric immunity.,false,false
7fce1841-2531-45d1-9191-eac694229ec6,Hunger Switch,258,"If Morpeko, it changes between Full Belly and Hangry Mode at the end of each turn.",false,false
8104f833-a21c-4a56-ba21-e324f7a34030,Neutralizing Gas,256,"While this Pokemon is active, Abilities have no effect.",false,false
8162ba92-fdee-4f90-ae20-7076939f051b,Immunity,17,This Pokemon cannot be poisoned. Gaining this Ability while poisoned cures it.,false,false
81ec7008-42fd-4ae1-b704-f7d0c2a1ff3d,Honey Gather,118,No competitive use.,false,false
82468c00-5816-470a-91c7-e626b7c29fe3,Synchronize,28,"If another Pokemon burns/poisons/paralyzes this Pokemon, it also gets that status.",false,false
826e92d2-f745-45ec-9e48-187337f60d19,Light Metal,135,This Pokemon's weight is halved.,false,false
829d07fb-a50f-45f2-8478-b2f7aa9dffe1,Soundproof,43,"This Pokemon is immune to sound-based moves, unless it used the move.",false,false
847463c3-ba2f-49a1-a978-a6bfccf11d78,Ripen,247,"When this Pokemon eats certain Berries, the effects are doubled.",false,false
858a945e-51db-45c0-9a8f-8a170e78549a,Snow Warning,117,"On switch-in, this Pokemon summons Snow.",false,false
869358dd-9173-4d5d-ab98-078dcc19ee4d,Bulletproof,171,This Pokemon is immune to bullet moves.,false,false
86d32e3d-6b4f-4321-bf49-dc0a2938d08a,Schooling,208,"If user is Wishiwashi, changes to School Form if it has > 1/4 max HP, else Solo Form.",true,false
8741668d-c1b5-407e-bb34-4f6571dce020,Telepathy,140,This Pokemon does not take damage from attacks made by its allies.,false,false
875187d9-9daa-43d9-9776-6702e8ad192b,Magic Bounce,156,This Pokemon blocks certain Status moves and bounces them back to the user.,false,false
87a6752b-dc28-48c6-9c80-64a16608dc1a,Illusion,149,This Pokemon appears as the last Pokemon in the party until it takes direct damage.,false,false
88682eca-91d8-4dcf-995e-6863d5722443,Emergency Exit,194,This Pokemon switches out when it reaches 1/2 or less of its maximum HP.,false,false
88e51878-9d4b-40eb-ba3b-bf9d8a182116,Rattled,155,"Speed is raised 1 stage if hit by a Bug-, Dark-, or Ghost-type attack, or Intimidated.",false,false
8aa73949-d901-4ef8-ba94-39ff065a88d1,Merciless,196,This Pokemon's attacks are critical hits if the target is poisoned.,false,false
8b07942f-e025-4371-a65f-7488752ac54e,Orichalcum Pulse,288,"On switch-in, summons Sunny Day. During Sunny Day, Attack is 1.3333x.",false,false
8b5ff4ec-24e4-48d2-9bc3-25515512fbd7,Zero to Hero,278,"If this Pokemon is a Palafin in Zero Form, switching out has it change to Hero Form.",true,false
8d20cd1d-5601-49e1-b0fd-92e373a27edc,Huge Power,37,This Pokemon's Attack is doubled.,false,false
8e3ea8ff-72b8-410a-9449-f4a4ef210426,Insomnia,15,This Pokemon cannot fall asleep. Gaining this Ability while asleep cures it.,false,false
8ebc5134-7014-420f-9e62-259e5ff7154e,Imposter,150,"On switch-in, this Pokemon Transforms into the opposing Pokemon that is facing it.",false,false
8f1740f0-6146-4e41-b09c-cb5ddf75c70e,Vital Spirit,72,This Pokemon cannot fall asleep. Gaining this Ability while asleep cures it.,false,false
8f7c80cc-421d-4213-b65f-c16ce0adf249,Dragon's Maw,263,This Pokemon's offensive stat is multiplied by 1.5 while using a Dragon-type attack.,false,false
8f7de8b0-6c0a-49b2-b78d-5243c63ee75c,Galvanize,206,This Pokemon's Normal-type moves become Electric type and have 1.2x power.,false,false
92e7729c-1a64-41af-8088-2c6d9649f959,Rivalry,79,This Pokemon's attacks do 1.25x on same gender targets; 0.75x on opposite gender.,false,false
94fc8c48-c4a0-4719-9c44-4c2b9f6f516c,Pressure,46,"If this Pokemon is the target of a foe's move, that move loses one additional PP.",false,false
9939b773-da66-4ada-85c4-f0a519827300,Snow Cloak,81,"If Snow is active, this Pokemon's evasiveness is 1.25x.",false,false
99e27bcc-fa09-4af5-a277-ca68cc130736,Pickpocket,124,"If this Pokemon has no item and is hit by a contact move, it steals the attacker's item.",false,false
9a8f4b71-946d-4a11-9ce6-81d4182631c9,Full Metal Body,230,Prevents other Pokemon from lowering this Pokemon's stat stages.,false,false
9b9af008-a0ae-480b-8813-d4495e27e703,Tangled Feet,77,This Pokemon's evasiveness is doubled as long as it is confused.,false,false
9bdc5446-ce90-46ca-9203-247b3c8d2d47,Wind Rider,274,Attack raised by 1 if hit by a wind move or Tailwind begins. Wind move immunity.,false,false
9d1a50cb-aa8f-4246-9baa-f12d92585ff4,Fluffy,218,"This Pokemon takes 1/2 damage from contact moves, 2x damage from Fire moves.",false,false
9d84f1c0-ddea-41d6-8ee7-ad8a8e7bde2c,Sword of Ruin,285,Active Pokemon without this Ability have their Defense multiplied by 0.75.,false,false
9e2a17a2-3c2c-4542-a113-b0439bfe0d86,Long Reach,203,This Pokemon's attacks do not make contact with the target.,false,false
9e2ab19d-332e-4fd3-8cfa-6400707ea917,Thermal Exchange,270,This Pokemon's Attack is raised by 1 when damaged by Fire moves; can't be burned.,false,false
a044fdbf-eb84-44ca-8cac-a27691d8f05f,Turboblaze,163,This Pokemon's moves and their effects ignore the Abilities of other Pokemon.,false,false
a0a8466a-62e7-48f6-9857-33bdfb739a8e,Pixilate,182,This Pokemon's Normal-type moves become Fairy type and have 1.2x power.,false,false
a0c259b1-e655-47a5-949c-a7266e0ad447,Justified,154,This Pokemon's Attack is raised by 1 stage after it is damaged by a Dark-type move.,false,false
